seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
870,-3070,-3070,-3286
871,-2896,-2896,-2218
872,-2750,-3012,-2940
873,-2628,-2386,-2940
874,-2758,-3032,-2940
875,-3294,-2720,-2940
876,-2686,-2686,-3286
877,-2904,-3184,-2940
878,-2662,-3294,-3294
879,-2976,-2788,-3286
880,-3032,-3032,-3032
881,-3294,-3294,-2940
882,-2966,-2966,-2896
883,-2966,-2638,-3032
884,-2768,-3008,-3286
885,-3294,-3294,-2974
886,-2952,-2962,-3294
887,-2656,-3024,-3286
888,-2838,-3184,-2452
889,-2836,-2836,-2940
890,-3028,-3048,-2940
891,-2774,-2774,-3294
892,-2804,-2804,-2940
893,-2928,-2928,-2940
894,-3102,-3022,-2940
895,-2454,-2586,-3286
896,-3014,-3014,-3032
897,-2970,-2970,-2738
898,-2946,-2982,-2940
899,-2942,-2942,-3286
900,-2816,-2816,-3184
901,-2760,-2838,-3184
902,-3120,-3120,-3032
903,-2722,-2706,-3294
904,-2942,-2942,-3286
905,-2954,-3184,-2940
906,-2644,-2644,-3184
907,-2978,-2978,-3184
908,-3294,-3294,-3294
909,-3286,-3286,-3108
910,-2598,-2614,-3294
911,-3090,-3090,-2490
912,-3016,-3016,-3294
913,-2418,-2776,-3286
914,-3140,-3140,-2940
915,-2976,-2976,-2940
916,-2846,-2700,-2726
917,-3146,-3146,-3294
918,-3062,-3062,-3184
919,-3014,-2974,-3076
920,-3070,-3076,-3286
921,-3000,-3000,-2940
922,-2320,-2320,-3294
923,-2954,-2954,-3032
924,-2620,-2816,-3294
925,-2904,-2904,-3184
926,-3014,-3014,-2738
927,-3292,-3292,-3294
928,-3038,-3046,-2940
929,-3146,-2934,-2940
930,-3046,-3046,-2940
931,-3018,-2808,-2940
932,-3010,-3010,-2940
933,-3286,-2942,-3286
934,-3096,-3096,-3286
935,-2454,-2454,-3286
936,-3070,-3070,-3286
937,-3048,-3048,-2940
938,-2790,-2790,-3184
939,-2922,-2922,-2452
940,-3202,-3202,-2880
941,-2698,-2736,-2452
